"Groupe d'aliment","Sous-groupe d'aliment","Nom du Produit en Français","Changement climatique","Appauvrissement de la couche d'ozone","Rayonnements ionisants","Formation photochimique d'ozone","Particules fines","Effets toxicologiques sur la santé humaine : substances non-cancérogènes","Effets toxicologiques sur la santé humaine : substances cancérogènes","Acidification terrestre et eaux douces","Eutrophisation eaux douces","Eutrophisation marine","Eutrophisation terrestre","Écotoxicité pour écosystèmes aquatiques d'eau douce","Utilisation du sol","Épuisement des ressources eau","Épuisement des ressources énergétiques","Épuisement des ressources minéraux"
"fruits, légumes, légumineuses et oléagineux","fruits","Groseille à maquereau, crue",1.4,7.93e-7,0.197,0.00543,1.33e-7,4.38e-8,2.59e-9,0.00775,0.000453,0.00334,0.0259,247,21.9,3.58,23.4,0.0000126
"fruits, légumes, légumineuses et oléagineux","fruits","Groseille, crue",1.89,7.06e-8,0.284,0.00622,1.14e-7,2.66e-8,2.16e-9,0.00943,0.000736,0.0043,0.0305,22.7,26.6,1.24,32.8,0.000018
"fruits, légumes, légumineuses et oléagineux","fruits","Kaki, pulpe, cru",0.95,2.27e-8,0.0268,0.00437,4.79e-8,1.76e-8,4.19e-10,0.00531,0.000131,0.00523,0.0183,30.6,13.8,1.47,10.1,0.00000483
"fruits, légumes, légumineuses et oléagineux","fruits","Kiwi, pulpe et graines, cru",1,2.59e-8,0.109,0.00536,6.1e-8,3.85e-8,8.27e-10,0.00788,0.00022,0.00292,0.0264,10,44.2,2.73,11.7,0.00000791
"fruits, légumes, légumineuses et oléagineux","fruits","Kumquat, sans pépin, cru",0.577,2.21e-8,0.0536,0.00262,4.83e-8,2.49e-8,3.44e-10,0.00528,0.0000979,0.00146,0.0219,15.3,26.4,10.9,7.06,0.00000321
"fruits, légumes, légumineuses et oléagineux","fruits","Litchi, pulpe, cru",0.554,2.28e-8,0.0626,0.00205,4.46e-8,9.54e-9,2.74e-10,0.00413,0.0000787,0.000681,0.0151,16.2,30.8,0.955,6.64,0.00000457
"fruits, légumes, légumineuses et oléagineux","fruits","Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, égoutté",1.2,3.04e-8,1.45,0.00445,7.71e-8,3.44e-8,5.21e-9,0.00525,0.000325,0.00682,0.0153,24.4,100,5.02,42.2,0.00000626
"fruits, légumes, légumineuses et oléagineux","fruits","Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, non égoutté",0.725,1.84e-8,0.88,0.0027,4.67e-8,2.09e-8,3.16e-9,0.00318,0.000197,0.00413,0.00926,14.7,60.8,3.05,25.6,0.00000379
"fruits, légumes, légumineuses et oléagineux","fruits","Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, égoutté",1.38,3.29e-8,1.46,0.00519,9.05e-8,3.49e-8,5.28e-9,0.00676,0.000395,0.00677,0.0203,27.1,92.2,4.98,44.3,0.00000861
"fruits, légumes, légumineuses et oléagineux","fruits","Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, non égoutté",0.725,1.84e-8,0.88,0.0027,4.67e-8,2.09e-8,3.16e-9,0.00318,0.000197,0.00413,0.00926,14.7,60.8,3.05,25.6,0.00000379
"fruits, légumes, légumineuses et oléagineux","fruits","Mandarine, pulpe, crue",0.468,2.52e-8,0.054,0.0027,5.25e-8,1.3e-8,3e-10,0.00551,0.000095,0.00147,0.0219,27.1,26.7,10.9,7.45,0.0000033
"fruits, légumes, légumineuses et oléagineux","fruits","Mangue importée par avion, pulpe, crue",11.6,1.97e-7,0.112,0.0684,1.62e-7,1.27e-7,1.53e-9,0.0529,0.00024,0.0205,0.228,88,41.5,1.21,154,0.00000724
"fruits, légumes, légumineuses et oléagineux","fruits","Mangue importée par bateau, pulpe, crue",0.728,2.6e-8,0.0653,0.00433,5.36e-8,1.07e-8,3.53e-10,0.00698,0.0000886,0.0014,0.023,17.3,31.7,0.965,8.95,0.00000494
"fruits, légumes, légumineuses et oléagineux","fruits","Melon cantaloup (par ex.: Charentais, de Cavaillon) pulpe, cru",0.979,3.16e-8,0.142,0.00314,4.68e-8,2.35e-8,1.11e-9,0.0038,0.000226,0.0046,0.0123,7.92,43.1,1.43,13.6,0.00000554
"fruits, légumes, légumineuses et oléagineux","fruits","Melon miel ou melon honeydew, pulpe, cru",0.979,3.16e-8,0.142,0.00314,4.68e-8,2.35e-8,1.11e-9,0.0038,0.000226,0.0046,0.0123,7.92,43.1,1.43,13.6,0.00000554
"fruits, légumes, légumineuses et oléagineux","fruits","Mûre (de ronce), crue",0.972,2.83e-8,0.0626,0.00704,2.18e-7,4.72e-8,5.27e-9,0.0305,0.000274,0.0125,0.134,117,111,5.04,9.68,0.00000556
"fruits, légumes, légumineuses et oléagineux","fruits","Mûre (de ronce), surgelée, crue",1.24,3.59e-8,0.773,0.00776,2.29e-7,5.37e-8,5.43e-9,0.0316,0.000346,0.0128,0.136,118,113,5.14,26.9,0.0000112
"fruits, légumes, légumineuses et oléagineux","fruits","Mûre noire (du mûrier), crue",1.25,3.45e-8,0.076,0.00861,2.64e-7,5.8e-8,6.41e-9,0.037,0.000344,0.0153,0.162,142,134,6.11,11.8,0.00000675
"fruits, légumes, légumineuses et oléagineux","fruits","Myrtille, crue",0.922,2.17e-7,0.0698,0.00468,1.31e-7,1.11e-7,1.85e-9,0.0175,0.000471,0.0264,0.0643,222,210,0.355,9.91,0.000012
"fruits, légumes, légumineuses et oléagineux","fruits","Myrtille, surgelée, crue",1.19,2.25e-7,0.781,0.00541,1.43e-7,1.17e-7,2.02e-9,0.0186,0.000543,0.0266,0.0663,223,212,0.456,27.2,0.0000177
"fruits, légumes, légumineuses et oléagineux","fruits","Nectarine ou brugnon, pulpe et peau, crue",0.614,2.19e-8,0.118,0.00187,2.62e-8,2.07e-8,4.74e-10,0.00189,0.000102,0.0129,0.00623,20.5,206,1.76,8.09,0.00000377
"fruits, légumes, légumineuses et oléagineux","fruits","Orange, pulpe, crue",0.678,2.44e-8,0.0576,0.00329,4.9e-8,2.84e-8,5.09e-10,0.00583,0.000102,0.00161,0.0223,12.7,26,10.5,7.94,0.0000028
"fruits, légumes, légumineuses et oléagineux","fruits","Pamplemousse chinois, pulpe, cru",0.793,3.86e-8,0.0653,0.00302,4.35e-8,4.62e-8,4.86e-10,0.00482,0.000198,0.00435,0.014,276,43.3,49.2,9.03,0.0000166
"fruits, légumes, légumineuses et oléagineux","fruits","Papaye, pulpe, crue",0.926,2.6e-8,0.067,0.00586,5.13e-8,1.72e-8,4.39e-10,0.0071,0.000112,0.00377,0.0214,10,14.5,1.87,11.1,0.00000422
"fruits, légumes, légumineuses et oléagineux","fruits","Pastèque, pulpe, crue",0.68,2.4e-8,0.0695,0.00247,3.63e-8,1.68e-8,8.19e-10,0.003,0.000155,0.00341,0.00958,5.74,32.5,1.07,9.8,0.00000396
"fruits, légumes, légumineuses et oléagineux","fruits","Pêche au sirop léger, appertisée, égouttée",1.38,3.26e-8,1.58,0.00472,8.3e-8,2.74e-8,5.68e-9,0.00533,0.000369,0.0106,0.0152,33.4,167,8.04,46.1,0.00000701
"fruits, légumes, légumineuses et oléagineux","fruits","Pêche au sirop léger, appertisée, non égouttée",0.774,1.83e-8,0.887,0.00264,4.65e-8,1.54e-8,3.19e-9,0.00299,0.000207,0.00592,0.00855,18.7,93.7,4.52,25.9,0.00000393
"fruits, légumes, légumineuses et oléagineux","fruits","Pêche, pulpe et peau, crue",0.591,2.25e-8,0.0661,0.00211,2.78e-8,1.79e-8,7.13e-10,0.00203,0.000101,0.00946,0.00675,24.9,157,7.71,7.16,0.0000034
"fruits, légumes, légumineuses et oléagineux","fruits","Pêche, sèche",3.66,1.12e-7,10.6,0.0125,1.79e-7,1.48e-7,6.05e-9,0.016,0.000953,0.0813,0.0431,205,1370,67.7,255,0.0000343
"fruits, légumes, légumineuses et oléagineux","fruits","Poire au sirop léger, appertisée, non égouttée",0.595,1.83e-8,0.873,0.00233,4.37e-8,8.93e-9,3.02e-9,0.00279,0.000162,0.000859,0.0082,5.89,14.2,0.957,24.8,0.00000331
"fruits, légumes, légumineuses et oléagineux","fruits","Poire, pulpe et peau, crue",0.387,2.1e-8,0.0403,0.00171,2.73e-8,7.26e-9,4.47e-10,0.00244,0.000048,0.000806,0.00934,6.09,16.9,1.42,5.2,0.00000226
"fruits, légumes, légumineuses et oléagineux","fruits","Poire, pulpe, crue",0.387,2.1e-8,0.0403,0.00171,2.73e-8,7.26e-9,4.47e-10,0.00244,0.000048,0.000806,0.00934,6.09,16.9,1.42,5.2,0.00000226
"fruits, légumes, légumineuses et oléagineux","fruits","Pomelo (dit Pamplemousse) jaune, pulpe, cru",0.926,3.27e-8,0.068,0.00547,5.51e-8,3.4e-8,5.88e-10,0.00829,0.000159,0.00313,0.0279,81.2,33.5,21.3,10.5,0.0000069
"fruits, légumes, légumineuses et oléagineux","fruits","Pomelo (dit Pamplemousse) rose, pulpe, cru",0.926,3.27e-8,0.068,0.00547,5.51e-8,3.4e-8,5.88e-10,0.00829,0.000159,0.00313,0.0279,81.2,33.5,21.3,10.5,0.0000069
"fruits, légumes, légumineuses et oléagineux","fruits","Pomelo (dit Pamplemousse), pulpe, cru",0.926,3.27e-8,0.068,0.00547,5.51e-8,3.4e-8,5.88e-10,0.00829,0.000159,0.00313,0.0279,81.2,33.5,21.3,10.5,0.0000069
"fruits, légumes, légumineuses et oléagineux","fruits","Pomme Canada, pulpe, crue",0.408,2.52e-8,0.065,0.00164,2.38e-8,8.24e-9,3.87e-10,0.00174,0.0000461,0.000739,0.00676,10.6,16.4,0.543,5.68,0.0000024
"fruits, légumes, légumineuses et oléagineux","fruits","Pomme Golden, pulpe et peau, crue",0.408,2.52e-8,0.065,0.00164,2.38e-8,8.24e-9,3.87e-10,0.00174,0.0000461,0.000739,0.00676,10.6,16.4,0.543,5.68,0.0000024
"fruits, légumes, légumineuses et oléagineux","fruits","Pomme, pulpe et peau, crue",0.408,2.52e-8,0.065,0.00164,2.38e-8,8.24e-9,3.87e-10,0.00174,0.0000461,0.000739,0.00676,10.6,16.4,0.543,5.68,0.0000024
"fruits, légumes, légumineuses et oléagineux","fruits","Pomme, pulpe, bouillie/cuite à l'eau",1.44,1.98e-7,0.257,0.00436,6.15e-8,1.77e-8,9.8e-10,0.00459,0.000258,0.00164,0.0135,15.7,27.8,0.966,23,0.0000094
"fruits, légumes, légumineuses et oléagineux","fruits","Pomme, pulpe, crue",0.408,2.52e-8,0.065,0.00164,2.38e-8,8.24e-9,3.87e-10,0.00174,0.0000461,0.000739,0.00676,10.6,16.4,0.543,5.68,0.0000024
"fruits, légumes, légumineuses et oléagineux","fruits","Pomme, pulpe, rôtie/cuite au four",1.42,1.98e-7,0.689,0.00449,6.59e-8,2.12e-8,1.04e-9,0.00502,0.000285,0.00172,0.0141,16.2,28.2,0.985,31.5,0.0000126
"fruits, légumes, légumineuses et oléagineux","fruits","Pomme, sèche",1.64,8.07e-8,4.95,0.006,9.7e-8,3.57e-8,1.77e-9,0.00806,0.00032,0.00329,0.0257,42.2,73.1,2.66,120,0.000013
"fruits, légumes, légumineuses et oléagineux","fruits","Prune Reine-Claude, crue",1.04,3.25e-8,0.0889,0.00389,4.86e-8,3.73e-8,1.5e-9,0.00518,0.000375,0.00174,0.0181,95.5,1010,6.51,12.9,0.0000074
"fruits, légumes, légumineuses et oléagineux","fruits","Prune, crue",1.03,3.21e-8,0.0502,0.00386,4.82e-8,3.7e-8,1.49e-9,0.00513,0.000372,0.00173,0.018,95.5,1010,6.51,12,0.0000071
"fruits, légumes, légumineuses et oléagineux","fruits","Pruneau, sec",3.11,6.98e-8,0.244,0.0118,1.43e-7,1.38e-7,5.62e-9,0.018,0.00145,0.00594,0.0614,375,4060,26.2,41.2,0.0000264
"fruits, légumes, légumineuses et oléagineux","fruits","Purée de fruits, tout type de fruits, type ""compote sans sucres ajoutés""",1.11,1.47e-7,0.666,0.00363,5.66e-8,1.73e-8,8.43e-10,0.0049,0.000208,0.00209,0.0154,10.9,24.6,1.18,27.7,0.00000821
"fruits, légumes, légumineuses et oléagineux","fruits","Raisin blanc, à gros grain (type Italia ou Dattier), cru",0.51,1.8e-8,0.0632,0.00218,2.82e-8,1.13e-8,2.43e-10,0.00241,0.0000885,0.00137,0.00753,5.01,22.8,4.92,6.69,0.00000298
"fruits, légumes, légumineuses et oléagineux","fruits","Raisin noir, cru",0.51,1.8e-8,0.0632,0.00218,2.82e-8,1.13e-8,2.43e-10,0.00241,0.0000885,0.00137,0.00753,5.01,22.8,4.92,6.69,0.00000298
"fruits, légumes, légumineuses et oléagineux","fruits","Raisin, cru",0.51,1.8e-8,0.0632,0.00218,2.82e-8,1.13e-8,2.43e-10,0.00241,0.0000885,0.00137,0.00753,5.01,22.8,4.92,6.69,0.00000298
"fruits, légumes, légumineuses et oléagineux","fruits","Raisin, sec",1.23,1.94e-8,0.161,0.00479,6.71e-8,3.61e-8,6.43e-10,0.00643,0.000332,0.00448,0.0181,13.8,89.6,19.4,17.7,0.00000897
"fruits, légumes, légumineuses et oléagineux","fruits","Rhubarbe, tige, crue",0.702,3.01e-8,0.0362,0.00225,4.64e-8,3.02e-8,5.19e-10,0.00506,0.0000716,0.005,0.0208,6.08,32.8,0.0643,6.51,0.00000295
"fruits, légumes, légumineuses et oléagineux","fruits","Rhubarbe, tige, cuite, sucrée",1.74,2.24e-7,0.277,0.00521,9.1e-8,4.29e-8,1.17e-9,0.0087,0.000289,0.00654,0.0302,10.1,47.8,0.44,26.5,0.0000111
"fruits, légumes, légumineuses et oléagineux","fruits","Salade de fruits, crue",1.63,7.37e-8,0.127,0.00527,7.92e-8,3.46e-8,1.02e-9,0.0071,0.000333,0.00755,0.0228,28.6,100,5.48,20.7,0.00000911
"fruits, légumes, légumineuses et oléagineux","fruits","Sureau, baie, crue",0.92,2.5e-8,0.0719,0.00429,1.85e-7,6.02e-8,1.13e-9,0.0249,0.000241,0.0103,0.109,22,99.3,0.165,8.61,0.00000455
"fruits, légumes, légumineuses et oléagineux","fruits","Tamarin, fruit immature, pulpe, cru",0.528,3.08e-8,0.0175,0.00202,5.82e-8,5.62e-9,3.95e-10,0.00689,0.000111,0.00309,0.0296,15.6,97.8,1.21,5.04,0.0000017
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Amande (avec peau)",2.63,4.38e-8,0.136,0.018,3.8e-7,9.72e-8,3.99e-9,0.0571,0.000899,0.0268,0.24,266,378,30.9,25.3,0.0000132
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Amande, grillée, salée",2.63,4.38e-8,0.136,0.018,3.8e-7,9.72e-8,3.99e-9,0.0571,0.000899,0.0268,0.24,266,378,30.9,25.3,0.0000132
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Amande, mondée, émondée ou blanchie",2.63,4.38e-8,0.136,0.018,3.8e-7,9.72e-8,3.99e-9,0.0571,0.000899,0.0268,0.24,266,378,30.9,25.3,0.0000132
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Arachide, bouillie/cuite à l'eau, salée",4.2,5.19e-8,0.206,0.0109,4.48e-7,1.07e-7,1.3e-9,0.064,0.00123,0.0403,0.278,25.5,535,14.6,22.7,0.0000135
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Beurre de cacahuète ou Pâte d'arachide",4.06,1.36e-7,1.11,0.0137,3.66e-7,8.41e-8,2.17e-9,0.0476,0.000932,0.027,0.191,40.9,318,9.27,53.2,0.0000116
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Cacahuète ou Arachide",4.18,5.15e-8,0.137,0.0108,4.47e-7,1.06e-7,1.29e-9,0.0639,0.00123,0.0403,0.278,25.4,535,14.6,21.2,0.000013
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Cacahuète, grillée",4.18,5.15e-8,0.137,0.0108,4.47e-7,1.06e-7,1.29e-9,0.0639,0.00123,0.0403,0.278,25.4,535,14.6,21.2,0.000013
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Cacahuète, grillée, salée",4.18,5.15e-8,0.137,0.0108,4.47e-7,1.06e-7,1.29e-9,0.0639,0.00123,0.0403,0.278,25.4,535,14.6,21.2,0.000013
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Châtaigne ou Marron, appertisé",1.94,1.04e-7,1,0.00758,1.36e-7,2.43e-8,9.27e-10,0.0173,0.00025,0.00589,0.0643,22.3,228,3.19,40.4,0.0000155
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Châtaigne, bouillie/cuite à l'eau",2.28,1.13e-7,0.325,0.00905,1.7e-7,3.22e-8,1.28e-9,0.0231,0.000336,0.00797,0.0889,27.9,330,4.56,29.3,0.0000219
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Châtaigne, crue",1.94,7.96e-8,0.267,0.00771,1.55e-7,2.91e-8,1.11e-9,0.0228,0.000286,0.00817,0.0931,23.9,363,4.92,23.6,0.000022
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Châtaigne, grillée",1.9,7.2e-8,0.242,0.00731,1.43e-7,2.65e-8,1.02e-9,0.0209,0.000271,0.00738,0.0843,21.6,327,4.54,24,0.0000202
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Chia, graine, séchée",3.49,3.59e-8,0.247,0.0156,7.63e-7,3.55e-7,4.26e-9,0.106,0.003,0.0588,0.458,42.8,572,8.25,31.1,0.0000158
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Crème de marrons",2.22,1.11e-7,1.51,0.00871,1.81e-7,2.16e-8,1.01e-9,0.0226,0.000315,0.00802,0.0861,25.1,204,3.4,53.9,0.0000155
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Crème de marrons vanillée, appertisée",2.01,1e-7,1.37,0.00786,1.63e-7,1.95e-8,9.14e-10,0.0204,0.000284,0.00724,0.0776,22.7,184,3.07,48.9,0.000014
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Cucurbitacées, graine",3.49,3.59e-8,0.247,0.0156,7.63e-7,3.55e-7,4.26e-9,0.106,0.003,0.0588,0.458,42.8,572,8.25,31.1,0.0000158
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Farine de châtaigne",2.39,9.7e-8,0.347,0.00968,1.93e-7,3.52e-8,1.36e-9,0.0277,0.000349,0.00991,0.113,29.7,433,5.87,30,0.0000264
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Lin, brun, graine",3.52,4e-8,0.254,0.0113,3.79e-7,1.56e-7,6.14e-9,0.0531,0.00151,0.039,0.227,39,628,2.23,29,0.0000129
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Lin, graine",3.52,4e-8,0.254,0.0113,3.79e-7,1.56e-7,6.14e-9,0.0531,0.00151,0.039,0.227,39,628,2.23,29,0.0000129
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Luzerne, graine",3.49,3.59e-8,0.247,0.0156,7.63e-7,3.55e-7,4.26e-9,0.106,0.003,0.0588,0.458,42.8,572,8.25,31.1,0.0000158
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Luzerne, graine germée",3.49,3.59e-8,0.247,0.0156,7.63e-7,3.55e-7,4.26e-9,0.106,0.003,0.0588,0.458,42.8,572,8.25,31.1,0.0000158
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Mélange apéritif de graines (non salées) et fruits séchés",2.62,4.11e-8,0.166,0.0148,2.91e-7,1.14e-7,3.43e-9,0.0425,0.000842,0.0293,0.183,89.8,380,20.7,23.9,0.0000135
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Mélange apéritif de graines (non salées) et raisins secs",2.62,4.11e-8,0.166,0.0148,2.91e-7,1.14e-7,3.43e-9,0.0425,0.000842,0.0293,0.183,89.8,380,20.7,23.9,0.0000135
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Mélange apéritif de graines salées et raisins secs",2.62,4.11e-8,0.166,0.0148,2.91e-7,1.14e-7,3.43e-9,0.0425,0.000842,0.0293,0.183,89.8,380,20.7,23.9,0.0000135
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Noisette",4.81,7.63e-8,0.21,0.0334,4.82e-7,3.23e-7,1.15e-8,0.0722,0.00138,0.0736,0.352,118,819,11.7,34.2,0.0000239
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Noisette grillée",5.01,7.68e-8,0.212,0.0338,4.86e-7,3.24e-7,1.15e-8,0.0726,0.0014,0.0737,0.352,118,819,11.8,37.1,0.0000243
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Noisette grillée, salée",5.01,7.68e-8,0.212,0.0338,4.86e-7,3.24e-7,1.15e-8,0.0726,0.0014,0.0737,0.352,118,819,11.8,37.1,0.0000243
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Noix de cajou, grillée, salée",3.56,6.13e-8,0.139,0.0171,5.03e-7,1.25e-7,1.83e-9,0.0757,0.00138,0.0458,0.318,27.9,584,14.9,26.4,0.0000137
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Noix de coco, amande immature, fraîche",2.42,2.58e-8,0.229,0.0121,2.22e-7,8.42e-8,7.66e-9,0.0285,0.000483,0.0227,0.11,103,182,12.4,24,0.00001
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Noix de coco, amande mûre, fraîche",2.42,2.58e-8,0.229,0.0121,2.22e-7,8.42e-8,7.66e-9,0.0285,0.000483,0.0227,0.11,103,182,12.4,24,0.00001
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Noix de coco, amande, sèche",2.42,2.58e-8,0.229,0.0121,2.22e-7,8.42e-8,7.66e-9,0.0285,0.000483,0.0227,0.11,103,182,12.4,24,0.00001
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Noix de macadamia",3.66,1.4e-7,0.382,0.014,2.78e-7,5.17e-8,1.97e-9,0.0418,0.000543,0.0149,0.171,46.4,652,8.95,41.6,0.0000389
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Noix de macadamia, grillée, salée",3.66,1.4e-7,0.382,0.014,2.78e-7,5.17e-8,1.97e-9,0.0418,0.000543,0.0149,0.171,46.4,652,8.95,41.6,0.0000389
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Noix de pécan",3.66,1.4e-7,0.382,0.014,2.78e-7,5.17e-8,1.97e-9,0.0418,0.000543,0.0149,0.171,46.4,652,8.95,41.6,0.0000389
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Noix de pécan, salées",3.66,1.4e-7,0.382,0.014,2.78e-7,5.17e-8,1.97e-9,0.0418,0.000543,0.0149,0.171,46.4,652,8.95,41.6,0.0000389
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Noix du Brésil",7.39,1.25e-7,0.136,0.0198,1.66e-7,3.42e-8,5.98e-9,0.0238,0.000932,0.0299,0.0862,24.1,502,17.5,22.8,0.00000846
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Noix, fraîche",4.11,1.44e-7,0.484,0.0148,2.87e-7,5.61e-8,2.11e-9,0.0418,0.000595,0.0151,0.169,44.7,653,9.09,48,0.0000404
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Noix, séchée, cerneaux",4.11,1.44e-7,0.484,0.0148,2.87e-7,5.61e-8,2.11e-9,0.0418,0.000595,0.0151,0.169,44.7,653,9.09,48,0.0000404
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Pâte d'amande, préemballée",2.18,3.89e-8,0.58,0.0124,2.92e-7,5.51e-8,2.61e-9,0.0419,0.000639,0.0189,0.176,153,236,17.1,31.5,0.0000106
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Pignon de pin",4.18,5.15e-8,0.137,0.0108,4.47e-7,1.06e-7,1.29e-9,0.0639,0.00123,0.0403,0.278,25.4,535,14.6,21.2,0.000013
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Pistache, grillée",7.22,1.27e-7,0.246,0.0215,2.67e-7,8e-8,5.6e-9,0.0392,0.0013,0.0397,0.157,23.8,609,15.1,29.7,0.0000121
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Pistache, grillée, salée",7.22,1.27e-7,0.246,0.0215,2.67e-7,8e-8,5.6e-9,0.0392,0.0013,0.0397,0.157,23.8,609,15.1,29.7,0.0000121
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Sésame, graine",2.44,6.86e-8,0.133,0.0138,3.88e-7,1.4e-7,1.72e-9,0.0578,0.00137,0.0422,0.246,18.2,555,1.56,22.5,0.0000128
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Sésame, graine décortiquée",5.2,1.38e-7,0.267,0.028,7.78e-7,2.84e-7,3.51e-9,0.116,0.00279,0.0847,0.494,37.9,1110,3.13,45.2,0.0000256
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Sésame, grillé, graine décortiquée",5.2,1.38e-7,0.267,0.028,7.78e-7,2.84e-7,3.51e-9,0.116,0.00279,0.0847,0.494,37.9,1110,3.13,45.2,0.0000256
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Soja, graine entière",1.25,1.43e-8,0.115,0.00449,4.45e-8,1.39e-8,8.78e-10,0.00508,0.000218,0.00759,0.0173,37.2,150,0.276,11,0.00000401
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Tahin ou Purée de sésame",2.85,8.45e-8,0.556,0.0144,3.96e-7,1.33e-7,2.23e-9,0.0578,0.00131,0.0419,0.249,27.3,544,1.51,33.7,0.0000136
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Tournesol, graine",2.91,5.8e-8,0.273,0.00779,1.65e-7,7.99e-8,7.86e-9,0.0191,0.00133,0.0277,0.0877,66.1,540,1.04,23.8,0.00000937
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Tournesol, graine, grillé, salé",2.91,5.8e-8,0.273,0.00779,1.65e-7,7.99e-8,7.86e-9,0.0191,0.00133,0.0277,0.0877,66.1,540,1.04,23.8,0.00000937
"fruits, légumes, légumineuses et oléagineux","légumes","Artichaut, appertisé, égoutté",2.02,7.23e-8,0.304,0.00639,1.24e-7,6.08e-8,5.91e-9,0.0121,0.000375,0.0102,0.0465,20.2,66.4,0.32,24.6,0.00000719
"fruits, légumes, légumineuses et oléagineux","légumes","Artichaut, coeur, appertisé, égoutté",2.02,7.23e-8,0.304,0.00639,1.24e-7,6.08e-8,5.91e-9,0.0121,0.000375,0.0102,0.0465,20.2,66.4,0.32,24.6,0.00000719
"fruits, légumes, légumineuses et oléagineux","légumes","Artichaut, cru",2.56,6.36e-8,0.174,0.00575,1.02e-7,7.28e-8,1.32e-9,0.0109,0.000344,0.0113,0.0448,17.5,66.4,0.176,16.1,0.00000684
"fruits, légumes, légumineuses et oléagineux","légumes","Artichaut, cuit",2.06,6.92e-8,0.31,0.00599,1.08e-7,5.3e-8,1.11e-9,0.0105,0.000283,0.00877,0.0387,12.7,60.3,0.456,30,0.0000088
