"Nom base français","Nom attribut français","Nom frontière français","Unité français","Total poste non décomposé","CO2f","CH4f","N2O","Autres GES","Localisation géographique","Date de création","Date de modification","Réglementations","Qualité","Commentaire français"
"Electricité","2013 - usage : Cuisson résidentiel","consommation (Méthode moyenne)","kgCO2e/kWh",0.00626,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement."
"Electricité","2013 - usage : Cuisson résidentiel","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0717,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Cuisson résidentiel","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0528,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Cuisson résidentiel","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0126,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Cuisson résidentiel","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0063,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Cuisson résidentiel","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0742,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Cuisson résidentiel","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0551,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Cuisson résidentiel","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0129,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Cuisson résidentiel","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.00627,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eau Chaude Sanitaire","consommation","kgCO2e/kWh",0.064,,,,,"France continentale","2015-03-17","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eau Chaude Sanitaire","consommation","kgCO2e/kWh",0.045,,,,,"France continentale","2015-03-17","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eau Chaude Sanitaire","consommation","kgCO2e/kWh",0.012,,,,,"France continentale","2015-03-17","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eau Chaude Sanitaire","consommation","kgCO2e/kWh",0.007,,,,,"France continentale","2015-03-17","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eau Chaude Sanitaire","consommation (Méthode moyenne)","kgCO2e/kWh",0.0732,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement."
"Electricité","2013 - usage : Eau Chaude Sanitaire","consommation (Méthode moyenne)","kgCO2e/kWh",0.054,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement."
"Electricité","2013 - usage : Eau Chaude Sanitaire","consommation (Méthode moyenne)","kgCO2e/kWh",0.0129,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement."
"Electricité","2013 - usage : Eau Chaude Sanitaire","consommation (Méthode moyenne)","kgCO2e/kWh",0.00626,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement."
"Electricité","2013 - usage : Eau Chaude Sanitaire","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0591,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eau Chaude Sanitaire","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0415,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eau Chaude Sanitaire","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0113,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eau Chaude Sanitaire","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0063,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eau Chaude Sanitaire","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0573,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eau Chaude Sanitaire","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0398,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eau Chaude Sanitaire","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0112,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eau Chaude Sanitaire","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.00627,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eclairage public","consommation (Méthode moyenne)","kgCO2e/kWh",0.0757,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement."
"Electricité","2013 - usage : Eclairage public","consommation (Méthode moyenne)","kgCO2e/kWh",0.0563,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement."
"Electricité","2013 - usage : Eclairage public","consommation (Méthode moyenne)","kgCO2e/kWh",0.0131,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement."
"Electricité","2013 - usage : Eclairage public","consommation (Méthode moyenne)","kgCO2e/kWh",0.00626,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement."
"Electricité","2013 - usage : Eclairage public","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0968,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eclairage public","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0751,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eclairage public","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0154,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eclairage public","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.00627,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eclairage public et Industrie","consommation","kgCO2e/kWh",0.093,,,,,"France continentale","2015-03-17","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eclairage public et Industrie","consommation","kgCO2e/kWh",0.071,,,,,"France continentale","2015-03-17","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eclairage public et Industrie","consommation","kgCO2e/kWh",0.015,,,,,"France continentale","2015-03-17","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eclairage public et Industrie","consommation","kgCO2e/kWh",0.007,,,,,"France continentale","2015-03-17","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eclairage public et Industrie","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0871,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eclairage public et Industrie","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0665,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eclairage public et Industrie","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0143,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eclairage public et Industrie","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0063,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eclairage résidentiel","consommation","kgCO2e/kWh",0.116,,,,,"France continentale","2015-03-17","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eclairage résidentiel","consommation","kgCO2e/kWh",0.091,,,,,"France continentale","2015-03-17","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eclairage résidentiel","consommation","kgCO2e/kWh",0.018,,,,,"France continentale","2015-03-17","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eclairage résidentiel","consommation","kgCO2e/kWh",0.007,,,,,"France continentale","2015-03-17","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eclairage résidentiel","consommation (Méthode moyenne)","kgCO2e/kWh",0.0782,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement."
"Electricité","2013 - usage : Eclairage résidentiel","consommation (Méthode moyenne)","kgCO2e/kWh",0.0586,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement."
"Electricité","2013 - usage : Eclairage résidentiel","consommation (Méthode moyenne)","kgCO2e/kWh",0.0134,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement."
"Electricité","2013 - usage : Eclairage résidentiel","consommation (Méthode moyenne)","kgCO2e/kWh",0.00626,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement."
"Electricité","2013 - usage : Eclairage résidentiel","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.109,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eclairage résidentiel","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0856,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eclairage résidentiel","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0166,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eclairage résidentiel","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0063,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eclairage résidentiel","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.117,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eclairage résidentiel","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0932,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eclairage résidentiel","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0175,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Eclairage résidentiel","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.00627,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Froid","consommation (Méthode moyenne)","kgCO2e/kWh",0.0732,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement."
"Electricité","2013 - usage : Froid","consommation (Méthode moyenne)","kgCO2e/kWh",0.054,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement."
"Electricité","2013 - usage : Froid","consommation (Méthode moyenne)","kgCO2e/kWh",0.0129,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement."
"Electricité","2013 - usage : Froid","consommation (Méthode moyenne)","kgCO2e/kWh",0.00626,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement."
"Electricité","2013 - usage : Froid","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0553,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Froid","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0382,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Froid","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0109,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Froid","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.00627,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Industrie base","consommation","kgCO2e/kWh",0.052,,,,,"France continentale","2015-03-17","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Industrie base","consommation","kgCO2e/kWh",0.035,,,,,"France continentale","2015-03-17","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Industrie base","consommation","kgCO2e/kWh",0.01,,,,,"France continentale","2015-03-17","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Industrie base","consommation","kgCO2e/kWh",0.007,,,,,"France continentale","2015-03-17","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Industrie base","consommation (Méthode moyenne)","kgCO2e/kWh",0.0715,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement."
"Electricité","2013 - usage : Industrie base","consommation (Méthode moyenne)","kgCO2e/kWh",0.0526,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement."
"Electricité","2013 - usage : Industrie base","consommation (Méthode moyenne)","kgCO2e/kWh",0.0127,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement."
"Electricité","2013 - usage : Industrie base","consommation (Méthode moyenne)","kgCO2e/kWh",0.00626,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement."
"Electricité","2013 - usage : Industrie base","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0475,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Industrie base","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0312,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Industrie base","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.01,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Industrie base","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0063,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Industrie base","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0509,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Industrie base","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0342,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Industrie base","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0104,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Industrie base","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.00627,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Transports","consommation","kgCO2e/kWh",0.052,,,,,"France continentale","2015-03-17","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Transports","consommation","kgCO2e/kWh",0.035,,,,,"France continentale","2015-03-17","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Transports","consommation","kgCO2e/kWh",0.01,,,,,"France continentale","2015-03-17","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Transports","consommation","kgCO2e/kWh",0.007,,,,,"France continentale","2015-03-17","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Transports","consommation (Méthode moyenne)","kgCO2e/kWh",0.0725,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV, DonnÃ©es de l'article L1431.3 du code des transports",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement."
"Electricité","2013 - usage : Transports","consommation (Méthode moyenne)","kgCO2e/kWh",0.0535,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV, DonnÃ©es de l'article L1431.3 du code des transports",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement."
"Electricité","2013 - usage : Transports","consommation (Méthode moyenne)","kgCO2e/kWh",0.0128,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV, DonnÃ©es de l'article L1431.3 du code des transports",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement."
"Electricité","2013 - usage : Transports","consommation (Méthode moyenne)","kgCO2e/kWh",0.00626,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV, DonnÃ©es de l'article L1431.3 du code des transports",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement."
"Electricité","2013 - usage : Transports","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0475,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Transports","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0312,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Transports","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.01,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
