"Nom base français","Nom attribut français","Nom frontière français","Unité français","Total poste non décomposé","CO2f","CH4f","N2O","Autres GES","Localisation géographique","Date de création","Date de modification","Réglementations","Qualité","Commentaire français"
"Gaz naturel",,,"kgCO2e/m3 (n)",2.15,2,0.116,0.0218,0,"France continentale","2014-11-05","2014-11-05","DonnÃ©es de l'article L229-25 de la loi TECV",,"Attention les fatures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"
"Gaz naturel",,,"kgCO2e/m3 (n)",1.81,1.78,0.00445,0.0218,0,"France continentale","2014-11-05","2014-11-05","DonnÃ©es de l'article L229-25 de la loi TECV",,"Attention les fatures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"
"Gaz naturel",,,"kgCO2e/m3 (n)",0.336,0.224,0.112,0,0,"France continentale","2014-11-05","2014-11-05","DonnÃ©es de l'article L229-25 de la loi TECV",,"Attention les fatures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"
"Gaz naturel",,"PCI","GJ / tonne",49.6,,,,,"France continentale","2014-10-02","2014-10-02",,,
"Gaz naturel",,"PCI","GJ / tonne",48,,,,,"Europe","2014-10-02","2014-10-02",,,
"Gaz naturel - 2015","mix moyen","consommation","kgCO2e/kWh PCI",0.227,0.211,0.00317,0.000764,0.0123,"France continentale","2018-02-16","2019-01-09","DonnÃ©es de l'article L229-25 de la loi TECV",4.5,"Combustion d'1kWh PCI de gaz du mix français (Rendement de combustion : 100%). Attention les factures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"
"Gaz naturel - 2015","mix moyen","consommation","kgCO2e/kWh PCI",0.187,0.187,0,0.000491,0,"France continentale","2018-02-16","2019-01-09","DonnÃ©es de l'article L229-25 de la loi TECV",4.5,"Combustion d'1kWh PCI de gaz du mix français (Rendement de combustion : 100%). Attention les factures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"
"Gaz naturel - 2015","mix moyen","consommation","kgCO2e/kWh PCI",0.0395,0.0237,0.00317,0.000273,0.0123,"France continentale","2018-02-16","2019-01-09","DonnÃ©es de l'article L229-25 de la loi TECV",4.5,"Combustion d'1kWh PCI de gaz du mix français (Rendement de combustion : 100%). Attention les factures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"
"Gaz naturel - 2015","mix moyen","consommation","kgCO2e/kWh PCS",0.204,0.189,0.00286,0.000688,0.011,"France continentale","2018-09-18","2019-01-09","DonnÃ©es de l'article L229-25 de la loi TECV",4.5,"Combustion d'1kWh PCS de gaz du mix français (Rendement de combustion : 100%). Attention les factures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"
"Gaz naturel - 2015","mix moyen","consommation","kgCO2e/kWh PCS",0.168,0.168,0,0.000442,0,"France continentale","2018-09-18","2019-01-09","DonnÃ©es de l'article L229-25 de la loi TECV",4.5,"Combustion d'1kWh PCS de gaz du mix français (Rendement de combustion : 100%). Attention les factures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"
"Gaz naturel - 2015","mix moyen","consommation","kgCO2e/kWh PCS",0.0355,0.0214,0.00286,0.000246,0.011,"France continentale","2018-09-18","2019-01-09","DonnÃ©es de l'article L229-25 de la loi TECV",4.5,"Combustion d'1kWh PCS de gaz du mix français (Rendement de combustion : 100%). Attention les factures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"
"Gaz naturel - 2015","mix moyen","consommation","kgCO2e/GJ PCI",63,58.5,0.881,0.214,3.42,"France continentale","2018-09-18","2019-01-09","DonnÃ©es de l'article L229-25 de la loi TECV",4.5,"Combustion d'1 GJ PCI de gaz du mix français (Rendement de combustion : 100%). Attention les factures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"
"Gaz naturel - 2015","mix moyen","consommation","kgCO2e/GJ PCI",52,51.9,0,0.137,0,"France continentale","2018-09-18","2019-01-09","DonnÃ©es de l'article L229-25 de la loi TECV",4.5,"Combustion d'1 GJ PCI de gaz du mix français (Rendement de combustion : 100%). Attention les factures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"
"Gaz naturel - 2015","mix moyen","consommation","kgCO2e/GJ PCI",11,6.58,0.881,0.0773,3.42,"France continentale","2018-09-18","2019-01-09","DonnÃ©es de l'article L229-25 de la loi TECV",4.5,"Combustion d'1 GJ PCI de gaz du mix français (Rendement de combustion : 100%). Attention les factures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"
"Gaz naturel - 2015","mix moyen","consommation","kgCO2e/GJ PCS",56.8,52.7,0.794,0.193,3.08,"France continentale","2018-09-18","2019-01-09","DonnÃ©es de l'article L229-25 de la loi TECV",4.5,"""""""""""""""Combustion d'1 GJ PCS de gaz naturel """"""""""""""""mix français"""""""""""""""" (Rendement de combustion : 100%). Attention les factures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"""""""""""""""
"Gaz naturel - 2015","mix moyen","consommation","kgCO2e/GJ PCS",46.9,46.8,0,0.123,0,"France continentale","2018-09-18","2019-01-09","DonnÃ©es de l'article L229-25 de la loi TECV",4.5,"""""""""""""""Combustion d'1 GJ PCS de gaz naturel """"""""""""""""mix français"""""""""""""""" (Rendement de combustion : 100%). Attention les factures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"""""""""""""""
"Gaz naturel - 2015","mix moyen","consommation","kgCO2e/GJ PCS",9.88,5.93,0.794,0.0696,3.08,"France continentale","2018-09-18","2019-01-09","DonnÃ©es de l'article L229-25 de la loi TECV",4.5,"""""""""""""""Combustion d'1 GJ PCS de gaz naturel """"""""""""""""mix français"""""""""""""""" (Rendement de combustion : 100%). Attention les factures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"""""""""""""""
"Gaz naturel - 2015","mix moyen","consommation","kgCO2e/TEP PCI",2639,2450,36.9,8.94,143,"France continentale","2018-09-18","2019-01-09","DonnÃ©es de l'article L229-25 de la loi TECV",4.5,"""""""""""""""Combustion d'1 TEP PCI de gaz naturel """"""""""""""""mix français"""""""""""""""" (Rendement de combustion : 100%). Attention les factures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"""""""""""""""
"Gaz naturel - 2015","mix moyen","consommation","kgCO2e/TEP PCI",2180,2174,0,5.71,0,"France continentale","2018-09-18","2019-01-09","DonnÃ©es de l'article L229-25 de la loi TECV",4.5,"""""""""""""""Combustion d'1 TEP PCI de gaz naturel """"""""""""""""mix français"""""""""""""""" (Rendement de combustion : 100%). Attention les factures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"""""""""""""""
"Gaz naturel - 2015","mix moyen","consommation","kgCO2e/TEP PCI",459,276,36.9,3.23,143,"France continentale","2018-09-18","2019-01-09","DonnÃ©es de l'article L229-25 de la loi TECV",4.5,"""""""""""""""Combustion d'1 TEP PCI de gaz naturel """"""""""""""""mix français"""""""""""""""" (Rendement de combustion : 100%). Attention les factures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"""""""""""""""
